organization,url,size,country,description,url2,category,source,url_https,url_source
Prothesia,www.prothesia.com/covid-19,11-50,México,"Estamos desarrollando y validando clinicamente, equipo medico y material de proteccion para hospitales y personal de la salud. Especificamente, estamos desarrollando 1) bifurcadores tipo Y para aumentar el numero de pacientes que puedans er beneficiados por un ventilador en caso de emergencia, fase actual: prueba final por personal medico. 2) careta (face shield) para proteger el rostro de fluidos y salpicones, esta careta se utiliza en conjunto con mascaras N-95. fase actual: prueba inicial por personal medico, 3) valvula venturi para ventiladores, se utiliza para regular una fuente de oxigeno a alta presion, fase actual: validacion de efectividad en laboratorio. ",drive.google.com/file/d/1NG3yyh9W6d9ZeKL8LKZ3_l7fhC1kS8VI/view?usp=sharing,Respirators,,,
Yana,www.yana.com.mx,11-50,México,"Yana es un acompañante virtual que apoya a las personas que tienen -o creen tener- depresión o ansiedad, a través de estrategias basadas en la terapia Cognitivo- Conductual.",,Social topics and mental health,,,
ALIV.IO,www.aliv.io/,1-10,Panamá,"Somos la organización Latinoamericana que dispone del más completo ecosistema de Salud Digital, en el cual los profesionales de la salud, hospitales y clínicas pueden maximizar el acceso a la atención de sus pacientes desde la comodidad. Permitiendo monitorear y realizar triage a los pacientes con diferentes patologías de manera remota.",,"Telemedicine, teleassistance",,,
Cizalla-Panama,cizalla.org/,1-10,Panamá,"Cizalla: Es un App que alerta tu probabilidad de estar contagiado, de acuerdo a los contactos que tuviste y sitios que visitaste en los últimos 15 días.",,Prediction and prevention,,,
MediGet,qr.mediget.com.py/,1-10,Paraguay,Una plataforma que permite el seguimiento de los pacientes y la comunicación con un plantel medico de manera remota.,,"Telemedicine, teleassistance",,,
ReporteOperatorio.com,www.reporteoperatorio.com,1-10,Perú,Consultorio.md - Consultorio médico virtual,,"Telemedicine, teleassistance",,,
Palo,www.palgo.pe/,11-50,Perú,"Fintech, aplicación móvil que da el financiamiento en el punto de venta para venta de productos de primera necesidad.",,Other,,,
PIXED,pixedcorp.com/,1-10,Perú,Dispositivos de protección para personal de salud impresos en 3D,drive.google.com/open?id=1UvBD07jTY2-_8Nys-WtZt1L2RhlD0GWz,Other,,,
Crehana,crehana.com,101-250,Perú,"Crehana es una plataforma de educación digital para personas y empresas en América Latina (incluyendo Brasil). Nuestra misión es democratizar las habilidades que el mercado laboral está demandando ofreciendo cursos cortos y prácticos que van desde diseño hasta negocios.

Tenemos más de 1.5 millones de estudiantes en toda la región y más de 35 empresas usando nuestra tecnología para entrenar a sus equipos. ",crehana.com,Remote education,,,
Smart Doctor ,www.smartdoctor.pe/empresas/,1-10,Perú,Plataforma móvil que permite la monitorización de pacientes en aislamiento domiciliario. Con nuestra solución podemos trackear la ubicación del paciente infectado pudiendo saber cuándo rompe las medidas de aislamiento y además podemos monitorizar su estado de salud día a día a través de un chekeador de síntomas y la posterior conexión con un médico a través de videollamadas. Toda la información se muestra en un panel de control que le permite a las autoridades ver en tiempo real la evolución clínica de estos pacientes y permite poder trasladarlos oportunamente a hospitales cercanos cuando se requiera.,,Quarantine monitoring and management,,,
Centro Médico Blau,Www.cmblau.com,11-50,Perú,Atención médica integral y plan de capacitación a pacientes.,,"Medical testing, diagnostic devices and digital diagnostic solutions",,,
Hope,hope.com.pe/,1-10,Perú,"Start up enfocada en enseñar ciencias usando realidad aumentada a niñas y niños entre 7 a 14 años con dispositivos Android y iOS. Actualmente contamos con cursos de anatomía humana, astronomía, biología animal y dinosaurios. El contenido está en español.",web.facebook.com/HopeCorp.edu,Remote education,,,
Riqra,www.riqra.com/ecommerceb2b,11-50,Perú,"Con nuestra tecnología, fabricantes y distribuidores pueden desplegar en horas su tienda de e-commerce B2B para hacer llegar sus productos a negocios y mantenerlos abastecidos",www.linkedin.com/posts/riqra_covid19-yomequedoencasa-activity-6645357247071346690--Bq2,Digital management platforms,,,
Doktuz,www.Doktuz.com,101-250,Perú,"Buscando ayudar a nuestros pacientes a navegar con mayor facilidad esta pandemia, hemos activado: 
1) Comunicación directa al MINSA (Ministerio de Salud) para casos sospechosos (+geolocalizados para poder agregar valor a los focos de reportes e identificar las áreas de riesgo).
 2) Información relevante del #COVID_19 de fuentes confiables.
 3) Chat médico 24/7 para dudas de salud y solución de problemas comunes.",www.youtube.com/watch?v=tSuFCT3zjUQ,Quarantine monitoring and management,,,
Innovit ,www.innovit.cl/solucion/horafacil,1-10,Perú,"Hora Fácil, solución de contactabilidad automatizada enfocadas en salud. Contamos con un sistema inteligente multicanal, el cual integra un audiobot y un chatbot desarrollados con IA y Machine Learning capaces de ser la primera línea de atención para la comunicación entre las líneas de atención y los usuarios.",www.cajalosandes.cl/cs/groups/public/documents/document/mgzl/yl8y/~edisp/mercurio_20feb_2020.pdf,Digital management platforms,,,
Cizalla.org,cizalla.org,1-10,Perú,"Permite auto-rastrearse a los ciudanos en forma privada, anónima y sin necesidad de una entidad central (Los datos se quedan en el propio equipo). El objetivo es informar a las autoridades sanitarias de su país sobre los contactos que ha tenido en los últimos 15 días.  Lugares, fecha y hora donde estuvo (usando el GPS y Haciendo CheckIN en QR). Personas con las que estuvo cerca (Usando Bluetooth siempre y cuando la otra persona también tenga la aplicación)  y en el caso de dar positivo, voluntariamente podrá exportar los datos en un formato abierto (GPX) para que pueda ser analizado y compartido las entidades de salubridad.",,Quarantine monitoring and management,,,
Codeable,codeable.pe/,1-10,Perú,Escuela de código 100% remoto (desde marzo) donde los alumnos no pagan hasta ganar más de $750 al mes.,,Remote education,,,
Kranzz Ingenieria y Construccion SAC,www.kranzzengineering.com/en/,1-10,Perú,"producción de oxigeno económico y fácil,  de manera masiva para atender enfermos con dificultades respiratorias",,Respirators,,,
Salud Total ,saludtotalapp.com/,1-10,Perú,"Salud Total es una app de salud que envía notificaciones preventivas al usuario sobre el momento oportuno para controlar sus funciones corporales, realizarse chequeos preventivos y controlar enfermedades, las cuales se programan de manera automática en función a los datos del usuario. Dichas recomendaciones derivan de las pautas preventivas brindadas por las intituciones líderes en salud a nivel mundial, basadas en la evidencia científica. Asimismo, Salud Total permite el envío de otras notificaciones y recomendaciones preventivas relacionadas con la salud individual y colectiva, incluyendo toda información importante que contribuya con la salud brindada por las autoridades sanitarias. 
Adicionelmente, Salud Total permite al usuario el solicitar servicios de salud de manera remota a domicilio o en los establecimientos afiliados en su localidad. ",www.youtube.com/watch?v=cHkp-3dDi6w&t=26s,Behavioral change,,,
TINNITUS PERU,www.tinnitusperu.com/,1-10,Perú,"Sistema tecnológico que permite realizar telemetría de datos  y recibirlos en una APP de que incluye chatbots, telemedicina, testeo y posterior tratamiento , permite prevención de propagación.",tinnitusperu.com/web2017/wp-content/uploads/2020/03/COVID19_IMPRESIONES_3D_GRATIS.pdf,"Medical testing, diagnostic devices and digital diagnostic solutions",,,
Nexus Labs,www.nexuslabs.com,11-50,Perú,"Ante la problemática de exceso de casos reportados por telefonía - canales saturados - necesidad de personal y falta de automatización registro de casos de COVID 19 contamos hoy con Stellar:

Stellar es un chatbot basado en inteligencia artificial integrado a Whatsapp, el cual además brinda un sistema de gestión para que cientos de personas de asistencia al mismo tiempo puedan brindar un soporte personalizado.

Permite la gestión por etiquetas, geolocalización de casos, envío de formularios y registro de datos, el cual permitirá la gestión eficiente de casos y de la información para una gestión efectiva del personal de salud.
",,Digital management platforms,,,
Pontificia Univ Catolica del Peru,puntoedu.pucp.edu.pe/en/noticias/pucp-engineers-design-pulmonary-ventilators-to-attend-coronavirus-emergencies/,11-50,Perú,"Sistema Robótico de desinfección de SARS-COV-2 usando radiación ultravioleta en ambientes de alto riesgo, tales como hospitales, supermercados y estaciones de metros y aeropuertos. Se requiere de un sistema con capacidad de desinfección eficaz y ágil que permita a dichos lugares sigan funcionando.",www.youtube.com/watch?time_continue=14&v=WRXZjLk_4Hk&feature=emb_title,Other,,,
CIVILGIS S.A.C.,quedateencasa.z20.web.core.windows.net/?fbclid=IwAR3UoOU4kkLQJcgkLd1HG9mGKpir8vCFnsxRgtLgtDuPFiG9ew7NfC5TQdk,1-10,Perú,"En nuestra plataforma puedes ver la actualización diaria de los casos de infectados por región geográfica según los niveles de infección. Así como visualizar los nuevos casos de infección por día y las proyecciones de estos.

Además, nuestra plataforma virtual ciudadana busca identificar iniciativas que surgen como fruto de la solidaridad de las personas, colectivos e instituciones para frenar la curva de contagios por COVID-19.

En resumen, es un servicio geolocalizado de ayuda mutua entre vecinos. Un mapa para encontrar personas que necesitan ayuda, voluntarios que quieren ayudar, intermediarios para las personas que no tengan acceso a internet, información útil sobre horarios de asistencia. Observa el mapa y transforma la solidaridad en una tachuela.

Explora nuestra plataforma y dinos si:

¿Necesitas asistencia médica o psicológica? 

¿Deseas ser voluntario brindando asistencia médica o psicológica en línea?

¿Quisieras ayudar o recibir ayuda de tus vecinos?",drive.google.com/drive/folders/1HSs91BhIMmuJ7iw6b6NdN79zx1FqLoA1?usp=sharing,Prediction and prevention,,,
TUMI Genomics,www.tumigenomics.com/,1-10,Perú,TUMI Genomics is a next generation sequencing (NGS) diagnostics company focused on infectious diseases and cancer,,"Medical testing, diagnostic devices and digital diagnostic solutions",,,
"FABRICANTES, COMERCIALIZADORES Y SERVICIOS MEDICOS S.A.C.",ozonoterapiaenperu.blogspot.com/p/nosotros.html,1-10,Perú,"LA INNOVACIÓN
La innovación, es una propuesta integral y versátil, cuyos componentes se pueden adaptar según el tipo de persona o paciente, así como también la situación específica.

1. El equipo basado en ozono, se puede utilizar para aplicar directamente a los pacientes, acompañados con los controles bioquímicos, que obtendrían una mejor respuesta inmunitaria con respecto al tratamiento tradicional basado en baño químico.
 
2. El equipo permite ozonificar los ambientes, mediante un operador, con conocimientos básicos, o sino capacitado por nosotros, llenará el equipo de ozono y se dirigirá a cada ambiente, logrando desinfectarlo con aire ozonizado.

3.El equipo permite, ozonificar el agua con la que se realiza la limpieza y sanitización de superficies, que podrían contener COVID-19, producto del estornudo de potenciales infectados y personas confirmadas con dicho virus.

4. El equipo permite, limpiar/desinfectar a pacientes que no tienen COVID-19, como medida preventiva.

5. El equipo también tiene su versión se puede colocar en una cabina para poder aislar en el domicilio, con unas cabinas portátiles, y de esa firma evitar los contagios a los familiares y personas que se encuentran en la misma casa.

IMPACTO ESPERADO EN INCLUSIÓN

El personal de salud se preocupa por la salud de los pacientes, sin embargo en ese trabajo hemos observado que médicos y enfermeras en todo el mundo, sobretodo aquellos que se encuentran en la primera línea de defensa, se están contaminando y falleciendo con dicha pandemia.

Son pocos los hospitales autorizados para el tratamiento de la pandemia, por lo que los casos sospechosos no son atendidos, logrando afectar paulatinamente al paciente, disminuyendo la probabilidad de sobrevivir a la pandemia.

Habrían mayores mecanismos para que personas puedan acceder a un método para mitigar las probabilidades de contagio de COVID-19.

Al tener ambientes más saludables, habrá disminución de contagios en el Perú.  

IMPACTO EN EL DESARROLLO DE UN ENTORNO PROPICIO PARA EL EMPRENDIMIENTO

Nuestro equipo genera resultados positivos para el COVID-19 y otras pandemias, asi como para otras enfermedades similares, incluyendo bacterias, ácaros, etc.

PROBLEMA ESPECÍFICO:

Es necesario contar con una tecnología económica y fiable, que sea capaz de tratar y/o desinfectar al paciente con COVID-19; desinfectar los ambientes y tener cabinas de aislamiento que elimine la probabilidad de contagio durante la cuarentena. 

CAUSAS:

Según los últimos acontecimientos, el mundo no está preparado para afrontar la pandemia del Coronavirus, a tal punto que se está expandiendo de manera vertiginosa, logrando ser casi ""incontenibles"" hasta en los países desarrollados.

Somos testigos de que los Sistemas de Salud, inclusive de los principales paises, miembros de G7 (Alemania, Canadá, Estados Unidos, Francia, Italia, Japón y Reino Unido) han colapsado, además de la República Popular China, que participa como observadora G7, a tal punto que están inviertiendo miles de millones realizando infraestructura de salud en tiempo record, para hacerle frente a esta rápida expansión, sin embargo esa alternativa no es aplicable a la realidad Latinoamericana

Sin considerar la pandemia actual, la Organización Mundial de la Salud - OMS, afirma que el medio ambiente representa un 24% de carga de morbilidad y un 23% de la mortalidad son atribuibles a factores medioambientales, vemos en las noticias, que esos datos se han disparado de manera alarmante, ante la expansión del COVID-19.

China, y los paises asiáticos han empleado con éxito la fumigación masiva de calles y establecimientos comunes, porque han descubierto que teniendo ambiente limpio, se elimina la probabilidad de contagio, a tal punto que a la fecha, tienen 3 días consecutivos sin contagio directo en el país, logrando invertir cifras astronómicas que las economías de Latinoamérica no lo permitirian.

En nuestro país y en Latinoamérica no se están desinfectando adecuadamente, pues solamente están empleando baldeados con elementos tensoactivos, sin embargo recomiendan la sustitución de esos elementos con derivados de amonio cuaternario y otros productos con actividad ácida, asi como las mochilas pulverizadoras que se ejecuten con hipoclorito sódico al 0.1%

NOSOTROS

La organización solicitante: Fabricantes, Comercializadores y Equipos Médicos - FACOSEME S.A.C.  es una empresa peruana con 18 años de operación, liderada por el Dr. Eloy Ortega, que tiene una patente sobre la fabricación de Clips de Aneurisma, y es ganador del Premio Kaelin de Investigación Científica en el  IPSS (1991), a orientado a su empresa a la investigación, teniendo 2 proyectos de Innovate Perú ganados y una patente: 

-PITEI-7-P-058-011-17 (2017)
-PROYECTO:PIEC2-5-P-022-19 (2019)                                                    - PATENTE: Nº de expediente: 002259-2018/DIN: Brazo Robótico articulado para localización estereotáxica en el tratamiento minimamente invasivo, asistido por rayos X

Se tiene una experiencia de 15 años trabajando con Ozono, experiencia como ponente en eventos nacionales e internacionales.

Las investigaciones exitosas que hemos logrado, se hicieron en alianza con la Universidad Nacional Mayor de San Marcos, que en comunicado nacional del 20/03/20,y Resolución Rectoral Nª 01144-R-20, expresa su compromiso y viene interviniendo con personal, infraestructura, ambulancias para enfrentar a la Pandemia.

La alianza entre la UNMSM, el Ministerio de Salud (MINSA), el Instituto Nacional de Salud (INS), y la Asociación Peruana de Facultad de Medicina (ASPEFAM), ésta última asociación liderada por la UNMSM, permiritan el escalamiento de la solución a nivel nacional e internacional",www.facebook.com/Medgatam/videos/drrolando-eloy-ortega-pionero-en-tratamiento-con-ozono-en-peru%CC%81-realiz%C3%B3-el-prime/414998919132610/,Quarantine monitoring and management,,,
Citibeats,citibeats.net/,11-50,Spain,"Debido a los rápidos y diversos cambios sociales es muy complejo entender qué pasa en tiempo real, desde Citibeats hemos desarrollado un modelo de observatorio de percepciones ciudadanas. El proyecto nace con el objetivo de comprender las necesidades y preocupaciones de los ciudadanos entorno la pandemia global del COVID-19 y promover iniciativas adecuadas a la realidad social. La plataforma desarrollada por Citibeats, busca y analiza a través de la Inteligencia Artificial grandes cantidades de texto, procedentes de ciudadanos, extraídos de fuentes públicas y abiertas  -redes sociales, blogs, medios de comunicación digitales, entre otros. La plataforma da sentido a estos datos, siempre anonimizando los datos y respetando la privacidad de las personas. 
",docs.google.com/presentation/d/1OMU-kaDgU1NyvAOkFw0avN21_ZZdFZAtDZw7zs661uA/edit?usp=sharing,Big data and analytics,,,
Jeevan Persad,www.fasove.com,1-10,Trinidad y Tobago,"3D printed solutions and electronics for PPE solutions and tools for first responders (e.g. goggles, IR thermometers etc.)",,Other,,,
CARTO,www.carto.com,101-250,UK,"Coronamadrid es una solución para recoger auto-evaluaciones de Covid19 por los ciudadanos. Esta disponible para iOS, Android, y web y permite definir protocolos de preguntas y recomendaciones. Tiene 4 objetivos: 

1) Ayudar a desbloquear los teléfonos de emergencia. 
2) Informar al ciudadano y ayudar a evaluarse desde casa 
3) Recoger información epidemiológica sobre la evolución 
4) Atender a los casos mas graves de forma activa. 

Los datos que genera se guardan en un backoffice que puede ser conectado a los sistemas de salud del país o tiene un interfaz para gestionar los datos. Una serie de informes ya vienen precreados.

Tiene un módulo opcional para la geolocalización continua de los ciudadanos y control de la mobilidad y el distanciamiento social.",VIDEO:,Quarantine monitoring and management,,,
Next2MyLife,next2mylife.com/,1-10,Uruguay,"Next2MyLife es una plataforma de tecnología social con geolocalización que permite la coordinación de una red de voluntarios en acciones reales, incluyendo ayuda emocional, apoyo a personas de la tercera edad llevando ayuda hasta sus casas, extendiendose a crear otras comunidades sociales de ayuda para enfrentar el Coronavirus. La solución está siendo utilizada desde el 2017 en la ONG Helpers con 10,000 voluntarios en Uruguay y Argentina. ",,Social topics and mental health,,,
ACCESOFÁCIL ,accesofacil.com/eventos/,1-10,Uruguay,"ACCESOFÁCIL es una plataforma online para eventos que permite mantener un seguimiento en tiempo real de los participantes antes, durante y post evento. En tiempo de corona virus adaptando el sistema para realizar eventos online. ",drive.google.com/a/boleteriafacil.com/file/d/1fgBHPRVzZpN4g_qfO9edm3L90qsTG23N/view?usp=drivesdk,Digital management platforms,,,
Young Americas Business Trust (YABT),www.yabt.net,11-50,USA,"The Young Americas Business Trust (YABT) is a nonprofit corporation incorporated in the District of Columbia (USA) and recognized by the IRS as a 501 (c) 3. YABT promotes the social and economic development of young people in the Western Hemisphere and worldwide by formulating programs that aim to improve the quality of life of youth and young adults, especially those living in poverty.

YABT works in cooperation with the Organization of American States (OAS) supporting the Summit of the Americas and the OAS General Assembly’s mandates and the United Nations Sustainable Development Goals by empowering young people through entrepreneurship, innovation, leadership, and knowledge.

Main programs: 

- The Business Opportunities Online Training (BOOT Camp): www.yabt.net/bootcamp (Remote education, training and mentoring)
- Talent and Innovation Competition of the Americas (TIC Americas): www.ticamericas.net
- Eco-Challenge: www.ticamericas.net/eco-challenge 
- More programs: www.yabt.net/programs.php 

Since its creation in 1999, YABT has supported more than 100,000 young people from over 75 countries around the world. 

YABT works with companies from different sectors, multilateral organizations, and the Member States and Permanent Observers to the OAS. For more information: http://www.yabt.net/partner.php",,Remote education,,,
VENEMERGENCIA,ww.venemergencia.com,101-250,Venezuela,"La “TeleSalud-COVID-19” de Venemergencia es una solución digital de Telemedicina, creada por médicos VENEZOLANOS, para orientar a todos los VENEZOLANOS ante la pandemia del coronavirus. 
Es la única prueba digital que permite medir el riesgo de tener COVID-19, recibir recomendaciones e indicaciones médicas y si lo necesitas, serás contactado para una consulta médica telefónica. 
“TeleSalud-COVID-19” es completamente gratuita, accede a http://www.venemergencia.com 
Venemergencia, #siemprepresentes, tiene 15 años de experiencia cuidando la salud de los venezolanos ",,"Telemedicine, teleassistance",,,
JOIN SOLUTIONS,www.joinsolutions.net,1-10,Argentina,"Software de asistencia médica, para empresas gerenciadoras de salud. La solución cuenta con una plataforma web para personal administrativo y medico que pueden atender a pacientes por medio de chat, envío de fotos y videollamadas. Por medio del mismo los médicos realizan un triage y luego se carga el avance en la historia clinica de los pacientes que se conectan por medio de una APP de Autogestión de Pacientes. En caso que sea necesario enviar un médico o enfermero al domicilio la plataforma cuenta con una APP para Profesionales de la Salud que están en la calle y hacen visitas domiciliarias. Estas visitas cuentan con geolocalización del domicilio y se atenderán y cerrarán por medio de un código QR y firma del paciente. Así mismo la plataforma cuenta con módulo de alertas por push y envío de mails automáticos ante ciertos eventos, reportes de atenciones y de ser necesario se puede integrar con otros sistemas que cuente la organización. ",,"Telemedicine, teleassistance",,,
Amanda Care,www.amanda-care.com,1-10,Argentina,"El primer asistente virtual que aplica inteligencia artificial en el seguimiento y monitoreo de pacienes. 
Objetivo: Mejorar la adherencia de los pacientes a sus tratamientos y evitar complicaciones y recaídas.
Amanda está disponible para ayudar a los hospitales y aseguradoras que quieran mejorar el acceso a la salud de sus pacientes y a su vez reducir costos y tiempo del staff médico.
Amanda resuelve de una forma sencilla, todas las conversaciones repetitivas del staff médico con los pacientes, se encarga de informarlos, recordarles los hitos en el tratamiento tales como turnos de visitas y toma de medicamentos.
Amanda coordina el día a día, alertando a los responsables sobre desvíos en los valores interpretados en las respuestas de los pacientes, desde una conversación natural convierte la información a parámetros previamente configurados y se comunica con los responsables para tomar acción en el momento adecuado.
Es muy sencilla e intuitiva como herramienta de monitoreo para el staff médico, nuestros dashboards adaptables permiten actuar sobre desvíos",,Quarantine monitoring and management,,,
Lambdaclass,lambdaclass.com/,1-10,Argentina,Análisis de Datos y desarrollo de software para la mejor implementación de políticas de salud pública. ,,Prediction and prevention,,,
CELLERIC,celleric.com,1-10,Argentina,"Ante la crisis sanitaria que plantea la pandemia del nuevo coronavirus COVID-19, las áreas de genética, virología e infectología se ven fuertemente afectadas. El personal hospitalario y de laboratorio encargado de realizar los ensayos diagnósticos de COVID-19, tanto en hospitales como en laboratorios privados, es también el encargado de realizar los diagnósticos de enfermedades genéticas y oncológicas, los cuales no pueden ser desatendidos. Esta realidad impide que los recursos profesionales puedan ser volcados completamente al diagnóstico de COVID-19.
En Celleric desarrollamos una plataforma web basada en Inteligencia Artificial para el diagnóstico genético y oncológico que permite reducir los tiempos de entrega de resultados hasta 6 veces, mediante la automatización del trabajo manual y repetitivo que los profesionales realizan a diario. Al tratarse de una plataforma web, es la única en su tipo que permite el trabajo remoto desde cualquier lugar de manera segura, ayudando a lograr el distanciamiento social requerido en la actualidad.
Nuestra plataforma está siendo utilizada actualmente por varios de los principales centros de diagnóstico de Argentina. La drástica reducción en los tiempos de diagnóstico permite optimizar los recursos profesionales críticos, permitiendo que se vuelquen más rápidamente, y por una mayor proporción de su tiempo de trabajo, hacia el diagnóstico de COVID-19.
En Celleric estamos listos para ofrecer de manera gratuita nuestra plataforma a toda América Latina y el Caribe. Sin embargo, siendo una startup de fase temprana, nos es imposible aplicar dicha iniciativa sin contar con recursos de apoyo. ",documentcloud.adobe.com/link/track?uri=urn%3Aaaid%3Ascds%3AUS%3A24f12194-2271-4501-af39-7337e005bc31,"Medical testing, diagnostic devices and digital diagnostic solutions",,,
IMPACTJUNKIE,www.impactjunkie.life/belize,1-10,Belize,"Innovation and Problem-Solving in Uncertainty interactive online course for entrepreneurs and business leaders in Belize, in partnership with US Embassy of Belize. Partnering with additional US Embassies over the coming months to host the program. ",drive.google.com/file/d/1mDCBdZi8rjpKL0CrcbzydprB226CmlWV/view?usp=sharing,Remote education,,,
Carenet ,www.carenet.com.br,11-50,Brasil,"Healthtech, que constrói soluções de Telesaúde e Tele-monitoramento para hospitais e outros líderes do setor de saúde. O nosso foco como empresa sempre foi o IoMT, a Internet das Coisas Médicas, e com o nosso produto ORCHESTRA asseguramos que os pacientes nas UTIs possam ser monitorados remotamente, aumentando a eficiência do cuidado e agora durante a pandemia sem colocar o corpo clínico em risco desnecessário de infeção. 

Integramos sinais vitais à distância e diretamente conectados aos equipamentos existentes dos hospitais. Esta captura digital pode incluir dados de monitores multiparamétricos, como 
- frequência cardíaca, 
- frequência respiratória, 
- pressão arterial, 
- temperatura; 
ou pode ser específico do dispositivo, como configurações dos ventiladores e das bombas de infusão. 

Com nosso produto hoje, o monitoramento remoto do paciente é focado na UTI, mas também poderia ser aplicado nos cuidados semi-intensivos, ou inclusive no homecare, mas a verdadeira mudança, um GAMECHANGER é o fato de que uma vez que os dados são digitalizados, eles podem fluir em tempo real para onde o hospital quer que faça sentido. 

Os hospitais podem monitorar seus pacientes localmente a partir de sua Sala de Enfermagem ou apoiar outros hospitais à distância usando uma Tele-UTI ou um Centro de Comando Clínico Centralizado para compartilhar especialistas e padronizar protocolos.",www.youtube.com/watch?v=xUhdBgMFn74,Quarantine monitoring and management,,,
IN LOCO TECNOLOGIA DA INFORMAÇÃO S.A.,content.inloco.com.br/,101-250,Brasil,"Through our geolocalization technology we are able to: 1) generate social indexes such aspopulation isolation; 2) send push notifications alerts to individuals when they are leaving home informing/reminding them the official health authority recommendations; 3)support local authorities with public hospitals, clinics and other places capacity monitoring.",content.inloco.com.br/hubfs/Estudos%20-%20Conte%C3%BAdo/Coronavirus/Plano%20In%20Loco%20-%20Covid%20%5BFor%20Apps%5D%20-%20Vers%C3%A3o%20Landing%20Page%20-%20PT_v2.pdf?hsCtaTracking=a731a362-e1a0-4bf2-8914-dc51fd70a8b1%7C14496bdb-9516-4e5b-9f9d-07ebfb696bdf,Quarantine monitoring and management,,,
Jamp App,drive.google.com/open?id=19tMFXbVuPOq9-LANc51AAbb2-1lrDlzT,1-10,Brasil,"JAMP is a technological platform offering a marketplace of healthcare products and services from everybody's fingertips without leaving home. JAMP allows users in real time to see local drugstore product inventory, compare prices and buy discounted products with  home delivery using our revolutionary technology that easily allows to interface with most drugstores point of sales. Additionally, JAMP can help government entities to better control drug prescriptions and tax evasion. Starting in Brazil where a fragmented drugstore market with almost 90k stores where +75% are independent or part of a small drugstore chain, local stock deficiencies, low digitalization and high fluctuating prices opens an opportunity for Jamp to help drugstores to virtualize their stores in minutes with almost no cost so they can continue doing business during these challenging times. For clients, Jamp will help them to get their essential healthcare products supporting Social Distancing by avoiding unnecessary trips to drugstores. In lest than 6 months and starting in Recife Brazil we have accomplished 11k subscribers and  are on the road to 1k orders per month with 18k  page visits per month. We have a proven technology, business model and team that will help Latin America overcome COVID-19. We are seeking BID Lab partnership for guidance and resources to act fast and help other countries in Latin America to correctly face COVID-19 challenges.  Please see as the first link in the above question a presentation with details of our business model and in the bellow section links to our website, Previa Corona effort and videos of Jamp. Thanks for this opportunity and we will love to have a conversation with you. ",www.jampapp.com/,Medicine supply chains and deliveries,,,
Instituto Cordial,institutocordial.com.br/covida/,1-10,Brasil,"A COVIDA tem como objetivo mapear e monitorar territorialmente o contágio da doença, zonas de risco e alternativas de solução nas cidades, procurando orientar ações públicas e privadas mais eficientes, eficazes e articuladas para conter a disseminação da epidemia.
A iniciativa conta com 4 pilares:

1) Plataforma unificada: dashboard com mapas, gráficos, soluções e indicadores em um só lugar. Visualização georreferencial dos contágios e falecimentos, zonas com maior exposição ao risco e mortalidade, impacto sociais e econômicos e raio de atuação das soluções e startups para ganhos em sinergia.

2) Articulação de soluções: canal para mapear e centralizar soluções e seus respectivos bancos de dados. Disponibilização de dados por API para rede de organizações participantes, órgãos públicos e pesquisadores de maneira rápida, organizada e acessível.

3) Articulação nos três setores: articuladores dedicados ao contato com órgãos governamentais para a disponibilização de bases de dados e uso da plataforma. Objetivo de que a tomada de decisão pública seja orientada por dados e evidências científicas.

4) Inteligência socioterritorial: desenvolvimento, em rede, de artigos e recomendações utilizando as bases de dados e soluções levantadas e organizadas com objetivo de subsidiar ações públicas e privadas eficientes, eficazes e articuladas para conter a disseminação da epidemia.
",drive.google.com/a/institutocordial.com.br/file/d/10cTRCuWQY11lNAZZYvBZfdNIjfpN9PaD/view?usp=sharing,Decision support,,,
Human Bionics SAS,www.hubionics.com,1-10,Colombia,Válvula multiplicadora para pacientes de manera que respiren de forma simultanea (respiradores artificiales),www.youtube.com/watch?v=jx0OhvEba0A&t=19s,Respirators,,,
Rebus Tech,btilab.tk/social-distancing-en/,11-50,Colombia,"In comparison to other countries, South Korea has managed to take great control over the spread of the COVID-19. So what’s the secret to their success? The entire population was given access to drive-through testing with shift scheduling through an APP.
Rebus has the technology to power the scheduling of shifts like we’ve seen in South Korea, and are prepared to support the launch of new testing programs with shift scheduling. We can have it up and running in less than 3 hours. #DriveThruTestLatamYA! 

Governments must respond accordingly to the threat of this pandemic by making testing available NOW!

https://www.youtube.com/watch?v=UvaO9oiB1AQ#action=share",app.rebus.com.co/social-distancing-1584716206903,Big data and analytics,,,
Poliestudios,www.poliestudios.org,11-50,Ecuador,"Formacion en Competencias Digitales para docentes, en donde se les enseña a trabajar dentro del aula virtual, como enviar tareas desde la tecnopedagogia, la implementación  de tareas digitales para evitar el gasto de recursos físicos de las familias, etc.",,Remote education,,,
GOCTORS TECHNOLOGY,www.goctors.com,11-50,Ecuador,"Plataforma tecnológica para la gestión de la salud, incluyendo al paciente como gestor central. Disponibilizamos desde la nube, mediante usuario y contraseña, todas las herramientas para que el prestador médico y el paciente puedan gestionar su relación, desde donde se encuentren. Creamos literalmente un ""Consultorio Virtual"" con agendamiento, atención remota (telemedicina), receta electrónica, triaje, exámenes de laboratorio, monitoreo y control de pacientes, y un sinfín de recursos para facilitar la adecuada entrega del servicio de salud a los pacientes.",www.goctors.com,Other,,,
